State,1,2,3,4
Alabama,22.23251232,42.68965517,12.74482759,15.98029557
Alaska,0.334886557,0.593017326,0.164902277,0.149831505
Arizona,15.01469527,28.06972774,7.586983686,10.96337622
Arkansas,13.99135862,25.41334614,7.301008161,9.392222756
California,59.78470633,122.5000481,30.37577017,35.75362402
Colorado,12.74269739,26.39448568,6.755037116,7.662199942
Connecticut,158.4520124,329.6800826,105.3457172,121.9607843
Delaware,105.2685422,214.5780051,68.74680307,90.99744246
Florida,81.4360057,172.6521844,52.40661518,79.5173806
Georgia,45.07329201,84.7321259,21.89782282,24.62749702
Hawaii,48.59100109,94.36400436,27.79075199,40.18371478
Idaho,5.59026477,9.284479946,2.572778577,3.334098682
Illinois,53.34484557,106.0799021,29.67639811,34.63925314
Indiana,44.87036521,83.54056314,24.12601059,28.30777809
Iowa,13.50693512,24.56196868,7.368232662,9.268903803
Kansas,8.893587378,15.5677499,4.542732484,5.397015509
Kentucky,25.78274439,50.183731,14.87466022,17.89741266
Louisiana,26.22916954,47.8446495,13.60464582,16.05839416
Maine,8.122468816,18.35736271,6.943139478,8.679734327
Maryland,141.0537084,284.112532,82.70076726,92.71611253
Massachusetts,180.2373054,409.3008421,119.4309773,140.737433
Michigan,39.4099648,79.11176356,24.6360919,29.6432551
Minnesota,16.78787194,31.93413467,9.452755065,10.76654483
Mississippi,15.66696509,27.84030353,8.04237541,9.826491026
Missouri,20.40117275,39.26238788,11.94809719,14.52291794
Montana,1.599384429,3.099150842,1.044271621,1.36030119
Nebraska,6.352922813,11.01225318,3.150446161,3.794323474
Nevada,6.441360217,13.00930732,3.40236417,4.315793308
New Hampshire,29.71345746,66.27271714,23.64812131,26.44664957
New Jersey,273.0287101,551.8398706,162.488206,189.1225233
New Mexico,4.118979937,7.498867054,2.232933712,3.00168912
New York,88.57360664,193.6811791,54.49771303,65.94528206
North Carolina,48.92647481,96.10616199,27.31433967,33.82938544
North Dakota,2.556744065,5.042467461,1.403020553,1.588543931
Ohio,65.01843577,126.2325104,39.00568945,47.03196347
Oklahoma,14.37702937,25.41242592,7.060382359,8.712998151
Oregon,9.353874358,20.25457538,5.615449517,7.596637605
Pennsylvania,60.69165551,125.4306113,40.04462294,50.22980812
Rhode Island,200.6769826,467.8916828,142.8433269,169.245648
South Carolina,38.2252333,73.87001428,22.36724121,29.2550895
South Dakota,2.888086643,4.925030963,1.537589923,1.831405307
Tennessee,37.79233382,74.46142649,21.45803008,26.072295
Texas,29.41843506,51.95369472,12.2208053,13.40401811
Utah,11.76248661,18.22607341,3.631584072,4.17680849
Vermont,12.65001622,29.05178938,10.34706455,12.88787977
Virginia,48.81307137,97.65392192,27.43572908,32.72387494
Washington,25.68411883,53.45739089,14.35523114,17.16379802
West Virginia,15.51044132,31.99651264,10.59907834,14.64275335
Wisconsin,24.11164709,47.50892956,15.04400339,17.59767279
Wyoming,1.399515988,2.582771227,0.811492714,0.977292621
