State,Hispanic ,Non-Hispanic White,Non-Hispanic Black,Other
Alabama,3.979704433,62.88571429,25.66098522,3.018660098
Alaska,0.090620898,0.785223985,0.037137184,0.35448557
Arizona,19.37816124,33.76074867,2.555208462,6.38950388
Arkansas,4.296956313,41.73417187,8.74699952,2.11362458
California,99.23067454,93.7126041,13.87572849,73.78105185
Colorado,11.63331727,36.84618722,2.116070568,3.70629519
Connecticut,119.4701754,494.0544892,73.13106295,68.6509804
Delaware,45.80051151,305.8398977,105.7237852,40.48695652
Florida,99.46589625,209.0564105,59.7153916,22.20356687
Georgia,17.29090627,94.7365804,56.03292529,14.4075174
Hawaii,23.37303441,48.35497431,3.523120037,166.1872957
Idaho,2.581467293,17.00646518,0.132288432,0.779833477
Illinois,39.6979296,140.9219146,32.20750814,25.04246937
Indiana,12.86919431,147.1643435,17.0917201,8.444828548
Iowa,3.324313199,48.34451902,1.861100671,3.037118568
Kansas,4.222651333,27.01855224,1.969470687,2.302396636
Kentucky,3.905240109,94.88560858,8.95572838,3.413973623
Louisiana,5.591975394,62.8721021,34.56803471,4.357985585
Maine,0.709509153,40.40466548,0.510643123,1.247594363
Maryland,62.68122762,313.6722251,181.7587724,80.86680307
Massachusetts,103.5075274,625.996938,60.96529727,116.1088288
Michigan,8.921240206,132.2367569,24.04117512,11.64104424
Minnesota,3.72616401,55.95608978,4.483326425,7.512591532
Mississippi,1.833887539,35.99025877,24.09351153,1.45316963
Missouri,3.71277831,70.46388865,10.07678017,3.886702081
Montana,0.267477809,6.225926791,0.030091511,0.525502212
Nebraska,2.730521085,19.74081011,1.133575275,1.385272769
Nevada,7.874460412,13.31713203,2.417645666,4.805374934
New Hampshire,5.618575092,135.2202029,2.009477088,8.106143383
New Jersey,248.0702251,665.7877072,154.7811026,239.0082221
New Mexico,8.39075516,6.43256293,0.313286368,1.961183208
New York,80.71434017,231.5894037,60.27615196,73.68388955
North Carolina,19.75586026,132.8646907,44.65735457,14.31538651
North Dakota,0.383786996,9.236904658,0.330898339,0.958677566
Ohio,10.66495739,224.7545723,34.69904525,12.95973433
Oklahoma,6.082033809,37.52146944,4.121609226,6.659794115
Oregon,5.634448923,32.63181359,0.774402883,4.155484724
Pennsylvania,20.93770638,218.2271531,30.51796073,20.06577421
Rhode Island,157.9748549,738.5589942,55.31528046,76.14119923
South Carolina,9.497857926,106.2007904,44.65946,5.3850088
South Dakota,0.412105721,9.432751851,0.215354818,1.262049066
Tennessee,8.762809316,120.3839398,27.05451237,6.072852984
Texas,42.6046374,45.26330017,12.71487588,10.54462534
Utah,5.285390906,29.55524048,0.434341836,2.180082271
Vermont,1.290085415,62.56957509,0.835874149,2.607525138
Virginia,19.96722057,131.9899995,40.28079701,27.76231123
Washington,14.12982488,76.2533868,3.938166471,19.93651437
West Virginia,0.946859302,69.35313655,2.962510898,1.236393075
Wisconsin,7.324943845,86.65012704,6.670729462,6.661818316
Wyoming,0.598547964,5.010926317,0.053076567,0.22154369
