State,1,2,3,4
Alabama,22.23251232,42.68965517,12.74482759,93.64729064
Alaska,0.334886557,0.593017326,0.164902277,1.242637665
Arizona,15.01469527,28.06972774,7.586983686,61.63478291
Arkansas,13.99135862,25.41334614,7.301008161,56.09793567
California,59.78470633,122.5000481,30.37577017,248.4141486
Colorado,12.74269739,26.39448568,6.755037116,53.55442013
Connecticut,158.4520124,329.6800826,105.3457172,715.4385965
Delaware,105.2685422,214.5780051,68.74680307,479.6419437
Florida,81.4360057,172.6521844,52.40661518,386.0121859
Georgia,45.07329201,84.7321259,21.89782282,176.3290112
Hawaii,48.59100109,94.36400436,27.79075199,210.9294722
Idaho,5.59026477,9.284479946,2.572778577,20.78041353
Illinois,53.34484557,106.0799021,29.67639811,223.740399
Indiana,44.87036521,83.54056314,24.12601059,180.8502927
Iowa,13.50693512,24.56196868,7.368232662,54.70782998
Kansas,8.893587378,15.5677499,4.542732484,34.39986312
Kentucky,25.78274439,50.183731,14.87466022,108.7360314
Louisiana,26.22916954,47.8446495,13.60464582,103.7345637
Maine,8.122468816,18.35736271,6.943139478,42.10270533
Maryland,141.0537084,284.112532,82.70076726,600.5933504
Massachusetts,180.2373054,409.3008421,119.4309773,849.6937994
Michigan,39.4099648,79.11176356,24.6360919,172.8010754
Minnesota,16.78787194,31.93413467,9.452755065,68.94256252
Mississippi,15.66696509,27.84030353,8.04237541,61.37613506
Missouri,20.40117275,39.26238788,11.94809719,86.13457575
Montana,1.599384429,3.099150842,1.044271621,7.103795103
Nebraska,6.352922813,11.01225318,3.150446161,24.30994563
Nevada,6.441360217,13.00930732,3.40236417,27.16973572
New Hampshire,29.71345746,66.27271714,23.64812131,146.092095
New Jersey,273.0287101,551.8398706,162.488206,1176.47931
New Mexico,4.118979937,7.498867054,2.232933712,16.85246982
New York,88.57360664,193.6811791,54.49771303,402.6956632
North Carolina,48.92647481,96.10616199,27.31433967,206.1743093
North Dakota,2.556744065,5.042467461,1.403020553,10.58932661
Ohio,65.01843577,126.2325104,39.00568945,277.2910409
Oklahoma,14.37702937,25.41242592,7.060382359,55.56429185
Oregon,9.353874358,20.25457538,5.615449517,42.81949522
Pennsylvania,60.69165551,125.4306113,40.04462294,276.3966979
Rhode Island,200.6769826,467.8916828,142.8433269,980.6576402
South Carolina,38.2252333,73.87001428,22.36724121,163.7208993
South Dakota,2.888086643,4.925030963,1.537589923,11.18211284
Tennessee,37.79233382,74.46142649,21.45803008,159.7865114
Texas,29.41843506,51.95369472,12.2208053,106.9969532
Utah,11.76248661,18.22607341,3.631584072,37.79938662
Vermont,12.65001622,29.05178938,10.34706455,64.93674992
Virginia,48.81307137,97.65392192,27.43572908,206.6291227
Washington,25.68411883,53.45739089,14.35523114,110.6605389
West Virginia,15.51044132,31.99651264,10.59907834,72.74878565
Wisconsin,24.11164709,47.50892956,15.04400339,104.2604117
Wyoming,1.399515988,2.582771227,0.811492714,5.770042737
