"","X","State","Month","Age","Republican.Rep.","Democratics.Rep.","Region","Season","Vaccine","Population"
"1",1,"Alabama","Jul",1,0.52,0.35,"South","Far",0.9,22.23251232
"2",2,"Alaska","Jul",1,0.39,0.32,"West","Far",0,0.334886557
"3",3,"Arizona","Jul",1,0.4,0.39,"West","Far",0.733333333,15.01469527
"4",4,"Arkansas","Jul",1,0.46,0.38,"South","Far",0,13.99135862
"5",5,"California","Jul",1,0.3,0.49,"West","Far",1.5,59.78470633
"6",6,"Colorado","Jul",1,0.41,0.42,"West","Far",0,12.74269739
"7",7,"Connecticut","Jul",1,0.32,0.5,"Northeast","Far",0,158.4520124
"8",8,"Delaware","Jul",1,0.29,0.55,"South","Far",0.766666667,105.2685422
"9",10,"Florida","Jul",1,0.37,0.44,"South","Far",1.7,81.4360057
"10",11,"Georgia","Jul",1,0.41,0.41,"South","Far",0.6,45.07329201
"11",12,"Hawaii","Jul",1,0.28,0.51,"West","Far",1.866666667,48.59100109
"12",13,"Idaho","Jul",1,0.49,0.32,"West","Far",0,5.59026477
"13",14,"Illinois","Jul",1,0.33,0.48,"Midwest","Far",1.033333333,53.34484557
"14",15,"Indiana","Jul",1,0.42,0.37,"Midwest","Far",0,44.87036521
"15",16,"Iowa","Jul",1,0.41,0.4,"Midwest","Far",0,13.50693512
"16",17,"Kansas","Jul",1,0.46,0.31,"Midwest","Far",0,8.893587378
"17",18,"Kentucky","Jul",1,0.44,0.43,"South","Far",0,25.78274439
"18",19,"Louisiana","Jul",1,0.41,0.43,"South","Far",0.866666667,26.22916954
"19",20,"Maine","Jul",1,0.36,0.47,"Northeast","Far",0,8.122468816
"20",22,"Massachusetts","Jul",1,0.27,0.56,"Northeast","Far",1.566666667,180.2373054
"21",23,"Michigan","Jul",1,0.34,0.47,"Midwest","Far",0,39.4099648
"22",24,"Minnesota","Jul",1,0.39,0.46,"Midwest","Far",0,16.78787194
"23",25,"Mississippi","Jul",1,0.44,0.42,"South","Far",0.466666667,15.66696509
"24",26,"Missouri","Jul",1,0.41,0.42,"Midwest","Far",0,20.40117275
"25",27,"Montana","Jul",1,0.49,0.3,"West","Far",0,1.599384429
"26",28,"Nebraska","Jul",1,0.47,0.36,"Midwest","Far",0,6.352922813
"27",29,"Nevada","Jul",1,0.37,0.46,"West","Far",0,6.441360217
"28",30,"New Hampshire","Jul",1,0.35,0.44,"Northeast","Far",0,29.71345746
"29",31,"New Jersey","Jul",1,0.3,0.51,"Northeast","Far",0.7,273.0287101
"30",32,"New Mexico","Jul",1,0.37,0.48,"West","Far",0.4,4.118979937
"31",33,"New York","Jul",1,0.28,0.53,"Northeast","Far",1.233333333,88.57360664
"32",34,"North Carolina","Jul",1,0.41,0.43,"South","Far",1.1,48.92647481
"33",35,"North Dakota","Jul",1,0.5,0.33,"Midwest","Far",0,2.556744065
"34",36,"Ohio","Jul",1,0.42,0.4,"Midwest","Far",0,65.01843577
"35",37,"Oklahoma","Jul",1,0.45,0.4,"South","Far",0,14.37702937
"36",38,"Oregon","Jul",1,0.32,0.47,"West","Far",0,9.353874358
"37",39,"Pennsylvania","Jul",1,0.39,0.46,"Northeast","Far",1.166666667,60.69165551
"38",40,"Rhode Island","Jul",1,0.3,0.48,"Northeast","Far",1.133333333,200.6769826
"39",41,"South Carolina","Jul",1,0.43,0.39,"South","Far",1.366666667,38.2252333
"40",42,"South Dakota","Jul",1,0.53,0.37,"Midwest","Far",0,2.888086643
"41",43,"Tennessee","Jul",1,0.48,0.36,"South","Far",0,37.79233382
"42",44,"Texas","Jul",1,0.39,0.4,"South","Far",2.066666667,29.41843506
"43",45,"Utah","Jul",1,0.54,0.3,"West","Far",0,11.76248661
"44",46,"Vermont","Jul",1,0.29,0.57,"Northeast","Far",0,12.65001622
