,State,Month,Age,Vaccine,Republican.Rep.,Democratics.Rep.,Region,Season
1,Alabama,Jul,1,0.9,0.52,0.35,South,Far
2,Alaska,Jul,1,0,0.39,0.32,West,Far
3,Arizona,Jul,1,0.733333333,0.4,0.39,West,Far
4,Arkansas,Jul,1,0,0.46,0.38,South,Far
5,California,Jul,1,1.5,0.3,0.49,West,Far
6,Colorado,Jul,1,0,0.41,0.42,West,Far
7,Connecticut,Jul,1,0,0.32,0.5,Northeast,Far
8,Delaware,Jul,1,0.766666667,0.29,0.55,South,Far
9,District of Columbia,Jul,1,1.533333333,NA,NA,South,Far
10,Florida,Jul,1,1.7,0.37,0.44,South,Far
11,Georgia,Jul,1,0.6,0.41,0.41,South,Far
12,Hawaii,Jul,1,1.866666667,0.28,0.51,West,Far
13,Idaho,Jul,1,0,0.49,0.32,West,Far
14,Illinois,Jul,1,1.033333333,0.33,0.48,Midwest,Far
15,Indiana,Jul,1,0,0.42,0.37,Midwest,Far
16,Iowa,Jul,1,0,0.41,0.4,Midwest,Far
17,Kansas,Jul,1,0,0.46,0.31,Midwest,Far
18,Kentucky,Jul,1,0,0.44,0.43,South,Far
19,Louisiana,Jul,1,0.866666667,0.41,0.43,South,Far
20,Maine,Jul,1,0,0.36,0.47,Northeast,Far
21,9yland,Jul,1,1,0.31,0.55,South,Far
22,Massachusetts,Jul,1,1.566666667,0.27,0.56,Northeast,Far
23,Michigan,Jul,1,0,0.34,0.47,Midwest,Far
24,Minnesota,Jul,1,0,0.39,0.46,Midwest,Far
25,Mississippi,Jul,1,0.466666667,0.44,0.42,South,Far
26,Missouri,Jul,1,0,0.41,0.42,Midwest,Far
27,Montana,Jul,1,0,0.49,0.3,West,Far
28,Nebraska,Jul,1,0,0.47,0.36,Midwest,Far
29,Nevada,Jul,1,0,0.37,0.46,West,Far
30,New Hampshire,Jul,1,0,0.35,0.44,Northeast,Far
31,New Jersey,Jul,1,0.7,0.3,0.51,Northeast,Far
32,New Mexico,Jul,1,0.4,0.37,0.48,West,Far
33,New York,Jul,1,1.233333333,0.28,0.53,Northeast,Far
34,North Carolina,Jul,1,1.1,0.41,0.43,South,Far
35,North Dakota,Jul,1,0,0.5,0.33,Midwest,Far
36,Ohio,Jul,1,0,0.42,0.4,Midwest,Far
37,Oklahoma,Jul,1,0,0.45,0.4,South,Far
38,Oregon,Jul,1,0,0.32,0.47,West,Far
39,Pennsylvania,Jul,1,1.166666667,0.39,0.46,Northeast,Far
40,Rhode Island,Jul,1,1.133333333,0.3,0.48,Northeast,Far
41,South Carolina,Jul,1,1.366666667,0.43,0.39,South,Far
42,South Dakota,Jul,1,0,0.53,0.37,Midwest,Far
43,Tennessee,Jul,1,0,0.48,0.36,South,Far
44,Texas,Jul,1,2.066666667,0.39,0.4,South,Far
45,Utah,Jul,1,0,0.54,0.3,West,Far
46,Vermont,Jul,1,0,0.29,0.57,Northeast,Far
47,Virginia,Jul,1,0,0.43,0.39,South,Far
48,Washington,Jul,1,1.3,0.33,0.44,West,Far
49,West Virginia,Jul,1,0,0.43,0.41,South,Far
