"","State","Month","Race","Vaccine","Population"
"1","Alabama","Jul","White","0.4",62.88571429
"2","Alaska","Jul","White",NA,0.785223985
"3","Arizona","Jul","White",NA,33.76074867
"4","Arkansas","Jul","White","0.2",41.73417187
"5","California","Jul","White",NA,93.7126041
"6","Colorado","Jul","White","0.2",36.84618722
"7","Connecticut","Jul","White",NA,494.0544892
"8","Delaware","Jul","White","0.1",305.8398977
"9","Florida","Jul","White","0.5",209.0564105
"10","Georgia","Jul","White",NA,94.7365804
"11","Hawaii","Jul","White","0.8",48.35497431
"12","Idaho","Jul","White",NA,17.00646518
"13","Illinois","Jul","White",NA,140.9219146
"14","Indiana","Jul","White","0.2",147.1643435
"15","Iowa","Jul","White",NA,48.34451902
"16","Kansas","Jul","White",NA,27.01855224
"17","Kentucky","Jul","White","0.5",94.88560858
"18","Louisiana","Jul","White",NA,62.8721021
"19","Maine","Jul","White",NA,40.40466548
"20","Maryland","Jul","White",NA,313.6722251
"21","Massachusetts","Jul","White","0.5",625.996938
"22","Michigan","Jul","White","0.2",132.2367569
"23","Minnesota","Jul","White",NA,55.95608978
"24","Mississippi","Jul","White",NA,35.99025877
"25","Missouri","Jul","White","0.4",70.46388865
"26","Montana","Jul","White",NA,6.225926791
"27","Nebraska","Jul","White","0.2",19.74081011
"28","Nevada","Jul","White",NA,13.31713203
"29","New Hampshire","Jul","White","0.2",135.2202029
"30","New Jersey","Jul","White","NR",665.7877072
"31","New Mexico","Jul","White",NA,6.43256293
"32","New York","Jul","White",NA,231.5894037
"33","North Carolina","Jul","White",NA,132.8646907
"34","North Dakota","Jul","White",NA,9.236904658
"35","Ohio","Jul","White",NA,224.7545723
"36","Oklahoma","Jul","White",NA,37.52146944
"37","Oregon","Jul","White","0.4",32.63181359
"38","Pennsylvania","Jul","White","0.4",218.2271531
"39","Rhode Island","Jul","White",NA,738.5589942
"40","South Carolina","Jul","White",NA,106.2007904
"41","South Dakota","Jul","White",NA,9.432751851
"42","Tennessee","Jul","White",NA,120.3839398
"43","Texas","Jul","White",NA,45.26330017
"44","Utah","Jul","White",NA,29.55524048
"45","Vermont","Jul","White",NA,62.56957509
"46","Virginia","Jul","White","0.4",131.9899995
"47","Washington","Jul","White",NA,76.2533868
"48","West Virginia","Jul","White",NA,69.35313655
"49","Wisconsin","Jul","White",NA,86.65012704
"50","Wyoming","Jul","White",NA,5.010926317
"51","Alabama","Aug","White","1.8",62.88571429
"52","Alaska","Aug","White","2.3",0.785223985
"53","Arizona","Aug","White","2.2",33.76074867
"54","Arkansas","Aug","White","1.4",41.73417187
"55","California","Aug","White","2.2",93.7126041
"56","Colorado","Aug","White","1.2",36.84618722
"57","Connecticut","Aug","White","1.1",494.0544892
"58","Delaware","Aug","White","1.5",305.8398977
"59","Florida","Aug","White","2.7",209.0564105
"60","Georgia","Aug","White","2.1",94.7365804
"61","Hawaii","Aug","White","3.2",48.35497431
"62","Idaho","Aug","White","0.6",17.00646518
"63","Illinois","Aug","White","2.0",140.9219146
"64","Indiana","Aug","White","1.7",147.1643435
"65","Iowa","Aug","White","1.9",48.34451902
"66","Kansas","Aug","White","1.7",27.01855224
"67","Kentucky","Aug","White","2.6",94.88560858
